pressure,consumption,temperature,crit_power
18.00,750.00,0.00,1.50
18.00,1000.00,75.00,3.45
18.00,1000.00,50.00,2.85
18.00,1000.00,25.00,2.25
18.00,1000.00,10.00,1.90
18.00,1000.00,0.00,1.60
18.00,1500.00,75.00,3.70
18.00,1500.00,50.00,3.20
18.00,1500.00,25.00,2.55
18.00,1500.00,10.00,2.25
18.00,1500.00,0.00,1.80
18.00,2000.00,75.00,4.60
18.00,2000.00,50.00,3.75
18.00,2000.00,25.00,3.00
18.00,2000.00,10.00,2.50
18.00,2000.00,0.00,2.10
18.00,3000.00,75.00,5.70
18.00,3000.00,50.00,4.70
18.00,3000.00,25.00,3.55
18.00,3000.00,10.00,3.00
18.00,3000.00,0.00,2.50
20.00,750.00,75.00,2.05
20.00,750.00,50.00,1.80
20.00,750.00,25.00,1.60
20.00,750.00,10.00,1.40
20.00,750.00,0.00,1.35
20.00,1000.00,75.00,2.30
20.00,1000.00,50.00,2.05
20.00,1000.00,25.00,1.75
20.00,1000.00,10.00,1.55
20.00,1000.00,0.00,1.35
20.00,1500.00,75.00,2.95
20.00,1500.00,50.00,2.55
20.00,1500.00,25.00,2.00
20.00,1500.00,10.00,1.80
20.00,1500.00,0.00,1.50
20.00,2000.00,75.00,3.55
20.00,2000.00,50.00,2.85
20.00,2000.00,25.00,2.40
20.00,2000.00,10.00,2.00
20.00,2000.00,0.00,1.65
20.00,3000.00,75.00,4.95
20.00,3000.00,50.00,3.75
20.00,3000.00,25.00,3.00
20.00,3000.00,10.00,2.35
20.00,3000.00,0.00,2.05
